gen,mejorfitness,mediapoblacion
668,0.9667,0.5034
669,0.9667,0.6975
670,0.9667,0.6092
671,0.9667,0.4173
672,0.9667,0.5227
673,0.9667,0.5515
674,0.9667,0.4196
675,0.9667,0.6188
676,0.9667,0.4914
677,0.9667,0.4818
678,0.9667,0.5686
679,0.9667,0.5955
680,0.9667,0.5258
681,0.9667,0.6009
682,0.9667,0.3243
683,0.9667,0.2091
684,0.9667,0.3589
685,0.9667,0.3894
686,0.9667,0.5761
687,0.9667,0.4638
688,0.9667,0.5677
689,0.9667,0.6606
690,0.9667,0.6297
691,0.9667,0.4615
692,0.9667,0.4596
693,0.9667,0.6051
694,0.9667,0.4844
695,0.9667,0.3137
696,0.9667,0.3404
697,0.9667,0.4908
698,0.9667,0.5148
699,0.9667,0.7322
700,0.9667,0.6351
701,0.9667,0.5652
702,0.9667,0.2784
703,0.9667,0.3792
704,0.9667,0.5850
705,0.9667,0.4885
706,0.9667,0.6246
707,0.9667,0.3418
708,0.9667,0.4319
709,0.9667,0.5192
710,0.9667,0.4108
711,0.9667,0.5145
712,0.9667,0.5455
713,0.9667,0.6323
714,0.9667,0.4775
715,0.9667,0.3601
716,0.9667,0.5959
717,0.9667,0.4468
718,0.9667,0.8468
719,0.9667,0.6308
720,0.9667,0.6172
721,0.9667,0.5666
722,0.9667,0.6605
723,0.9667,0.4833
724,0.9667,0.4881
725,0.9667,0.6676
726,0.9667,0.5666
727,0.9667,0.5637
728,0.9667,0.6049
729,0.9667,0.5470
730,0.9667,0.2891
731,0.9667,0.4973
732,0.9667,0.6966
733,0.9667,0.5817
734,0.9667,0.5834
735,0.9667,0.5666
736,0.9667,0.3872
737,0.9667,0.4896
738,0.9667,0.7593
739,0.9667,0.6210
740,0.9667,0.4835
741,0.9667,0.5214
742,0.9667,0.4304
743,0.9667,0.4617
744,0.9667,0.5812
745,0.9667,0.5983
746,0.9667,0.3984
747,0.9667,0.4327
748,0.9667,0.4919
749,0.9667,0.6729
750,0.9667,0.4511
751,0.9667,0.6403
752,0.9667,0.5785
753,0.9667,0.6019
754,0.9667,0.3944
755,0.9667,0.5008
756,0.9667,0.3101
757,0.9667,0.4553
758,0.9667,0.4582
759,0.9667,0.5822
760,0.9667,0.4833
761,0.9667,0.5454
762,0.9667,0.3769
763,0.9667,0.4241
764,0.9667,0.4483
765,0.9667,0.5922
766,0.9667,0.7151
767,0.9717,0.4166
768,0.9717,0.3201
769,0.9717,0.5165
770,0.9717,0.4719
771,0.9717,0.4444
772,0.9717,0.5674
773,0.9717,0.6199
774,0.9717,0.7218
775,0.9717,0.6904
776,0.9717,0.4729
777,0.9717,0.4646
778,0.9717,0.7303
779,0.9717,0.5843
780,0.9717,0.5729
781,0.9717,0.5432
782,0.9717,0.6061
783,0.9717,0.4340
784,0.9717,0.4996
785,0.9717,0.5606
786,0.9717,0.5570
787,0.9717,0.5189
788,0.9717,0.3617
789,0.9717,0.5656
790,0.9717,0.3353
791,0.9717,0.4397
792,0.9717,0.5299
793,0.9717,0.5195
794,0.9717,0.7363
795,0.9717,0.5697
796,0.9717,0.5198
797,0.9717,0.6187
798,0.9717,0.4020
799,0.9717,0.5259
800,0.9717,0.5858
801,0.9717,0.4897
802,0.9717,0.3509
803,0.9717,0.5296
804,0.9717,0.5544
805,0.9717,0.5204
806,0.9717,0.5832
807,0.9717,0.4638
808,0.9717,0.4682
809,0.9717,0.5541
810,0.9717,0.4940
811,0.9717,0.3405
812,0.9717,0.4487
813,0.9717,0.3832
814,0.9717,0.4144
815,0.9717,0.5135
816,0.9717,0.6243
817,0.9717,0.4112
818,0.9717,0.4441
819,0.9717,0.3663
820,0.9717,0.5653
821,0.9717,0.4499
822,0.9717,0.4335
823,0.9717,0.6410
824,0.9717,0.7054
825,0.9717,0.5432
826,0.9717,0.5086
827,0.9717,0.3897
828,0.9717,0.3763
829,0.9717,0.5323
830,0.9717,0.6496
831,0.9717,0.4476
832,0.9717,0.5148
833,0.9717,0.6239
834,0.9717,0.4610
835,0.9717,0.4966
836,0.9717,0.5459
837,0.9717,0.5826
838,0.9717,0.4603
839,0.9717,0.6145
840,0.9717,0.5059
841,0.9717,0.4758
842,0.9717,0.6028
843,0.9717,0.3197
844,0.9717,0.4793
845,0.9717,0.3002
846,0.9717,0.4600
847,0.9717,0.4712
848,0.9717,0.4439
849,0.9717,0.6457
850,0.9717,0.4834
851,0.9717,0.4681
852,0.9717,0.2436
853,0.9717,0.2732
854,0.9717,0.4428
855,0.9717,0.3600
856,0.9717,0.4406
857,0.9717,0.5376
858,0.9717,0.4655
859,0.9717,0.4288
860,0.9717,0.4036
861,0.9717,0.5101
862,0.9717,0.3948
863,0.9717,0.4918
864,0.9717,0.4862
865,0.9717,0.3742
866,0.9717,0.6481
867,0.9717,0.7015
868,0.9717,0.5865
869,0.9717,0.4390
870,0.9717,0.4538
871,0.9717,0.5158
872,0.9717,0.5936
873,0.9717,0.4493
874,0.9717,0.4366
875,0.9717,0.4409
876,0.9717,0.3921
877,0.9717,0.2856
878,0.9717,0.4617
879,0.9717,0.4021
880,0.9717,0.5857
881,0.9717,0.5506
882,0.9717,0.4763
883,0.9717,0.5452
884,0.9717,0.7450
885,0.9717,0.5767
886,0.9717,0.4749
887,0.9717,0.5404
888,0.9717,0.8429
889,0.9717,0.4760
890,0.9717,0.6555
891,0.9717,0.7208
892,0.9717,0.5119
893,0.9717,0.4444
894,0.9717,0.4244
895,0.9717,0.5874
896,0.9717,0.4339
897,0.9717,0.5418
898,0.9717,0.5507
899,0.9717,0.5091
900,0.9717,0.4714
901,0.9717,0.4046
902,0.9717,0.5905
903,0.9717,0.5359
904,0.9717,0.4645
905,0.9717,0.4897
906,0.9717,0.2355
907,0.9717,0.3429
908,0.9717,0.5657
909,0.9717,0.4316
910,0.9717,0.6401
911,0.9717,0.3538
912,0.9717,0.4372
913,0.9717,0.5785
914,0.9717,0.7519
915,0.9717,0.5612
916,0.9717,0.5578
917,0.9717,0.5016
918,0.9717,0.6171
919,0.9717,0.5770
920,0.9717,0.6501
921,0.9717,0.6302
922,0.9717,0.4856
923,0.9717,0.6364
924,0.9717,0.6149
925,0.9717,0.5238
926,0.9717,0.5381
927,0.9717,0.5223
928,0.9717,0.5896
929,0.9717,0.7325
930,0.9717,0.3084
931,0.9717,0.5402
932,0.9717,0.5419
933,0.9717,0.4396
934,0.9717,0.5386
935,0.9717,0.5037
936,0.9717,0.5087
937,0.9717,0.5912
938,0.9717,0.5306
939,0.9717,0.5476
940,0.9717,0.5419
941,0.9717,0.6135
942,0.9717,0.6788
943,0.9717,0.7252
944,0.9717,0.6926
945,0.9717,0.4663
946,0.9717,0.5244
947,0.9717,0.6112
948,0.9717,0.5054
