====================================================
INICIANDO EVALUACIÓN DE PRÁCTICA 3 - METAHEURÍSTICAS
====================================================

>>> Iniciando ejecución y test de rendimiento para: blackbox_modelB.pkl
Generando dataset exploratorio para blackbox_modelB.pkl...

=== Buscando puntos de ambas clases ===

=== INICIANDO ALGORITMO GENÉTICO ===
Generación 143/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4561
Generación 144/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5816
Generación 145/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5405
Generación 146/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5633
Generación 147/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5906
Generación 148/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6421
Generación 149/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6394
Generación 150/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7617
Generación 151/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6260
Generación 152/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6244
Generación 153/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7180
Generación 154/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6700
Generación 155/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6749
Generación 156/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6469
Generación 157/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5117
Generación 158/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7090
Generación 159/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4384
Generación 160/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4701
Generación 161/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6012
Generación 162/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6021
Generación 163/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5501
Generación 164/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7034
Generación 165/2000 | Mejor Fitness: 0.9567 | Media Población: 0.3953
Generación 166/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4324
Generación 167/2000 | Mejor Fitness: 0.9567 | Media Población: 0.3078
Generación 168/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5689
Generación 169/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5574
Generación 170/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6071
Generación 171/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4748
Generación 172/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6042
Generación 173/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6072
Generación 174/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6229
Generación 175/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6130
Generación 176/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7161
Generación 177/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6911
Generación 178/2000 | Mejor Fitness: 0.9567 | Media Población: 0.8116
Generación 179/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6357
Generación 180/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7438
Generación 181/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7410
Generación 182/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5979
Generación 183/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6898
Generación 184/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6605
Generación 185/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4862
Generación 186/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5771
Generación 187/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5459
Generación 188/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6958
Generación 189/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5412
Generación 190/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6174
Generación 191/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5285
Generación 192/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6437
Generación 193/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7389
Generación 194/2000 | Mejor Fitness: 0.9567 | Media Población: 0.3527
Generación 195/2000 | Mejor Fitness: 0.9567 | Media Población: 0.3737
Generación 196/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4443
Generación 197/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5982
Generación 198/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5294
Generación 199/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7706
Generación 200/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5871
