====================================================
INICIANDO EVALUACIÓN DE PRÁCTICA 3 - METAHEURÍSTICAS
====================================================

>>> Iniciando ejecución y test de rendimiento para: blackbox_modelA.pkl
Generando dataset exploratorio para blackbox_modelA.pkl...

=== Buscando puntos de ambas clases ===

=== INICIANDO ALGORITMO GENÉTICO ===
Generación 111/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3230
Generación 112/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3030
Generación 113/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3544
Generación 114/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3465
Generación 115/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3738
Generación 116/1000 | Mejor Fitness: 0.8926 | Media Población: 0.2631
Generación 117/1000 | Mejor Fitness: 0.8926 | Media Población: 0.2843
Generación 118/1000 | Mejor Fitness: 0.8926 | Media Población: 0.2757
Generación 119/1000 | Mejor Fitness: 0.8926 | Media Población: 0.2838
Generación 120/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3209
Generación 121/1000 | Mejor Fitness: 0.8926 | Media Población: 0.2976
Generación 122/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3560
Generación 123/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3606
Generación 124/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3372
Generación 125/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3671
Generación 126/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3965
Generación 127/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3552
Generación 128/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3459
Generación 129/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3871
Generación 130/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3580
Generación 131/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3359
Generación 132/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3575
Generación 133/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3500
Generación 134/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3376
Generación 135/1000 | Mejor Fitness: 0.8926 | Media Población: 0.2948
Generación 136/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3159
Generación 137/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3022
Generación 138/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3488
Generación 139/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3617
Generación 140/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3699
Generación 141/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3570
Generación 142/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3061
Generación 143/1000 | Mejor Fitness: 0.8926 | Media Población: 0.2856
Generación 144/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3571
Generación 145/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3432
Generación 146/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3970
Generación 147/1000 | Mejor Fitness: 0.8926 | Media Población: 0.4021
Generación 148/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3579
Generación 149/1000 | Mejor Fitness: 0.8926 | Media Población: 0.4260
Generación 150/1000 | Mejor Fitness: 0.8926 | Media Población: 0.4492
Generación 151/1000 | Mejor Fitness: 0.8926 | Media Población: 0.4584
Generación 152/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3776
Generación 153/1000 | Mejor Fitness: 0.8926 | Media Población: 0.4175
Generación 154/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3683
Generación 155/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3657
Generación 156/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3608
Generación 157/1000 | Mejor Fitness: 0.8926 | Media Población: 0.4111
Generación 158/1000 | Mejor Fitness: 0.8926 | Media Población: 0.4053
Generación 159/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3551
Generación 160/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3998
Generación 161/1000 | Mejor Fitness: 0.8926 | Media Población: 0.4074
Generación 162/1000 | Mejor Fitness: 0.8926 | Media Población: 0.4450
Generación 163/1000 | Mejor Fitness: 0.8926 | Media Población: 0.4273
Generación 164/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3327
Generación 165/1000 | Mejor Fitness: 0.8926 | Media Población: 0.2753
Generación 166/1000 | Mejor Fitness: 0.8926 | Media Población: 0.2474
Generación 167/1000 | Mejor Fitness: 0.8926 | Media Población: 0.2167
Generación 168/1000 | Mejor Fitness: 0.8926 | Media Población: 0.2394
Generación 169/1000 | Mejor Fitness: 0.8926 | Media Población: 0.2662
Generación 170/1000 | Mejor Fitness: 0.8926 | Media Población: 0.2800
Generación 171/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3012
Generación 172/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3141
Generación 173/1000 | Mejor Fitness: 0.8926 | Media Población: 0.2737
