gen,mejorfitness,mediapoblacion
771,0.7711,0.4274
772,0.7711,0.5227
773,0.7711,0.4086
774,0.7711,0.4384
775,0.7711,0.5029
776,0.7711,0.5644
777,0.7711,0.3356
778,0.7711,0.3952
779,0.7711,0.4395
780,0.7711,0.4457
781,0.7711,0.4077
782,0.7711,0.3583
783,0.7711,0.3463
784,0.7711,0.4305
785,0.7711,0.5582
786,0.7711,0.5236
787,0.7711,0.4778
788,0.7711,0.4169
789,0.7711,0.6379
790,0.7711,0.5801
791,0.7711,0.4433
792,0.7711,0.4849
793,0.7711,0.4986
794,0.7711,0.3273
795,0.7711,0.2972
796,0.7711,0.3947
797,0.7711,0.4704
798,0.7711,0.3716
799,0.7711,0.4582
800,0.7711,0.3984
801,0.7711,0.4064
802,0.7711,0.3720
803,0.7711,0.4374
804,0.7711,0.4118
805,0.7711,0.3669
806,0.7711,0.4061
807,0.7711,0.5577
808,0.7711,0.5320
809,0.7711,0.4374
810,0.7711,0.4476
811,0.7711,0.4346
812,0.7711,0.5048
813,0.7711,0.4424
814,0.7711,0.4393
815,0.7711,0.4048
816,0.7711,0.4683
817,0.7711,0.4271
818,0.7711,0.5190
819,0.7711,0.5328
820,0.7711,0.5289
821,0.7711,0.5306
822,0.7711,0.4269
823,0.7711,0.3914
824,0.7711,0.3118
825,0.7711,0.4232
826,0.7711,0.4054
827,0.7711,0.5046
828,0.7711,0.4694
829,0.7711,0.4534
830,0.7711,0.3244
831,0.7711,0.3516
832,0.7711,0.4865
833,0.7711,0.5206
834,0.7711,0.3935
835,0.7711,0.4906
836,0.7711,0.4317
837,0.7711,0.3886
838,0.7711,0.3797
839,0.7711,0.4113
840,0.7711,0.4616
841,0.7711,0.2730
842,0.7711,0.3227
843,0.7711,0.3159
844,0.7711,0.3751
845,0.7711,0.3734
846,0.7711,0.3826
847,0.7711,0.5063
848,0.7711,0.5219
849,0.7711,0.4622
850,0.7711,0.6029
851,0.7711,0.4661
852,0.7711,0.4452
853,0.7711,0.4610
854,0.7711,0.4572
855,0.7711,0.3720
856,0.7711,0.4955
857,0.7711,0.4543
858,0.7711,0.3534
859,0.7711,0.4924
860,0.7711,0.5165
861,0.7711,0.5139
862,0.7711,0.5129
863,0.7711,0.4329
864,0.7711,0.5201
865,0.7711,0.5426
866,0.7711,0.3633
867,0.7711,0.3609
868,0.7711,0.3296
869,0.7711,0.4462
870,0.7711,0.5022
871,0.7711,0.4903
872,0.7711,0.3633
873,0.7711,0.4731
874,0.7711,0.4341
875,0.7711,0.4165
876,0.7711,0.4242
877,0.7711,0.6164
878,0.7711,0.4464
879,0.7711,0.5606
880,0.7711,0.5413
881,0.7711,0.4254
882,0.7711,0.4100
883,0.7711,0.2900
884,0.7711,0.4597
885,0.7711,0.4019
886,0.7711,0.3591
887,0.7711,0.4299
888,0.7711,0.3052
889,0.7711,0.3687
890,0.7711,0.3761
891,0.7711,0.4029
892,0.7711,0.4519
893,0.7711,0.3926
894,0.7711,0.4125
895,0.7711,0.4597
896,0.7711,0.4418
897,0.7711,0.3740
898,0.7711,0.4263
899,0.7711,0.4667
