Generación 123/2000 | Mejor Fitness: 0.7000 | Media Población: 0.4982
Generación 124/2000 | Mejor Fitness: 0.7000 | Media Población: 0.4011
Generación 125/2000 | Mejor Fitness: 0.7000 | Media Población: 0.4902
Generación 126/2000 | Mejor Fitness: 0.7000 | Media Población: 0.3709
Generación 127/2000 | Mejor Fitness: 0.7000 | Media Población: 0.5123
Generación 128/2000 | Mejor Fitness: 0.7000 | Media Población: 0.4022
Generación 129/2000 | Mejor Fitness: 0.7000 | Media Población: 0.3777
Generación 130/2000 | Mejor Fitness: 0.7000 | Media Población: 0.3209
Generación 131/2000 | Mejor Fitness: 0.7000 | Media Población: 0.3471
Generación 132/2000 | Mejor Fitness: 0.7044 | Media Población: 0.3589
Generación 133/2000 | Mejor Fitness: 0.7044 | Media Población: 0.3216
Generación 134/2000 | Mejor Fitness: 0.7044 | Media Población: 0.4112
Generación 135/2000 | Mejor Fitness: 0.7044 | Media Población: 0.3929
Generación 136/2000 | Mejor Fitness: 0.7044 | Media Población: 0.5004
Generación 137/2000 | Mejor Fitness: 0.7044 | Media Población: 0.4392
Generación 138/2000 | Mejor Fitness: 0.7044 | Media Población: 0.4477
Generación 139/2000 | Mejor Fitness: 0.7044 | Media Población: 0.4957
Generación 140/2000 | Mejor Fitness: 0.7044 | Media Población: 0.3843
Generación 141/2000 | Mejor Fitness: 0.7044 | Media Población: 0.3154
Generación 142/2000 | Mejor Fitness: 0.7044 | Media Población: 0.3925
Generación 143/2000 | Mejor Fitness: 0.7044 | Media Población: 0.4030
Generación 144/2000 | Mejor Fitness: 0.7044 | Media Población: 0.4015
Generación 145/2000 | Mejor Fitness: 0.7044 | Media Población: 0.3274
Generación 146/2000 | Mejor Fitness: 0.7044 | Media Población: 0.4198
Generación 147/2000 | Mejor Fitness: 0.7044 | Media Población: 0.5201
Generación 148/2000 | Mejor Fitness: 0.7044 | Media Población: 0.3766
Generación 149/2000 | Mejor Fitness: 0.7089 | Media Población: 0.4529
Generación 150/2000 | Mejor Fitness: 0.7089 | Media Población: 0.4745
Generación 151/2000 | Mejor Fitness: 0.7089 | Media Población: 0.2854
Generación 152/2000 | Mejor Fitness: 0.7089 | Media Población: 0.3076
Generación 153/2000 | Mejor Fitness: 0.7089 | Media Población: 0.4445
Generación 154/2000 | Mejor Fitness: 0.7089 | Media Población: 0.4533
Generación 155/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4327
Generación 156/2000 | Mejor Fitness: 0.7222 | Media Población: 0.3517
Generación 157/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4422
Generación 158/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4679
Generación 159/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4071
Generación 160/2000 | Mejor Fitness: 0.7222 | Media Población: 0.3578
Generación 161/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4094
Generación 162/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4793
Generación 163/2000 | Mejor Fitness: 0.7222 | Media Población: 0.5437
Generación 164/2000 | Mejor Fitness: 0.7222 | Media Población: 0.3944
Generación 165/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4683
Generación 166/2000 | Mejor Fitness: 0.7222 | Media Población: 0.3322
Generación 167/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4131
Generación 168/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4369
Generación 169/2000 | Mejor Fitness: 0.7222 | Media Población: 0.5141
Generación 170/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4111
Generación 171/2000 | Mejor Fitness: 0.7222 | Media Población: 0.3339
Generación 172/2000 | Mejor Fitness: 0.7222 | Media Población: 0.3952
Generación 173/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4976
Generación 174/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4325
Generación 175/2000 | Mejor Fitness: 0.7222 | Media Población: 0.3230
Generación 176/2000 | Mejor Fitness: 0.7222 | Media Población: 0.3779
Generación 177/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4325
Generación 178/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4459
Generación 179/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4267
Generación 180/2000 | Mejor Fitness: 0.7222 | Media Población: 0.3995
Generación 181/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4226
Generación 182/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4132
Generación 183/2000 | Mejor Fitness: 0.7222 | Media Población: 0.5060
Generación 184/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4016
Generación 185/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4749
Generación 186/2000 | Mejor Fitness: 0.7222 | Media Población: 0.3861
Generación 187/2000 | Mejor Fitness: 0.7222 | Media Población: 0.5201
Generación 188/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4430
Generación 189/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4189
Generación 190/2000 | Mejor Fitness: 0.7222 | Media Población: 0.3411
Generación 191/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4559
Generación 192/2000 | Mejor Fitness: 0.7222 | Media Población: 0.5082
Generación 193/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4490
Generación 194/2000 | Mejor Fitness: 0.7222 | Media Población: 0.3678
Generación 195/2000 | Mejor Fitness: 0.7222 | Media Población: 0.3736
Generación 196/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4073
Generación 197/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4407
Generación 198/2000 | Mejor Fitness: 0.7222 | Media Población: 0.4629
Generación 199/2000 | Mejor Fitness: 0.7289 | Media Población: 0.3854
Generación 200/2000 | Mejor Fitness: 0.7289 | Media Población: 0.3296
Generación 201/2000 | Mejor Fitness: 0.7289 | Media Población: 0.3681
Generación 202/2000 | Mejor Fitness: 0.7289 | Media Población: 0.4680
Generación 203/2000 | Mejor Fitness: 0.7289 | Media Población: 0.3955
Generación 204/2000 | Mejor Fitness: 0.7289 | Media Población: 0.4936
Generación 205/2000 | Mejor Fitness: 0.7289 | Media Población: 0.3630
Generación 206/2000 | Mejor Fitness: 0.7289 | Media Población: 0.4813
Generación 207/2000 | Mejor Fitness: 0.7289 | Media Población: 0.3161
Generación 208/2000 | Mejor Fitness: 0.7289 | Media Población: 0.3520
Generación 209/2000 | Mejor Fitness: 0.7289 | Media Población: 0.3789
Generación 210/2000 | Mejor Fitness: 0.7289 | Media Población: 0.3324
Generación 211/2000 | Mejor Fitness: 0.7289 | Media Población: 0.3868
Generación 212/2000 | Mejor Fitness: 0.7289 | Media Población: 0.4478
Generación 213/2000 | Mejor Fitness: 0.7289 | Media Población: 0.5182
Generación 214/2000 | Mejor Fitness: 0.7289 | Media Población: 0.4608
Generación 215/2000 | Mejor Fitness: 0.7289 | Media Población: 0.5049
Generación 216/2000 | Mejor Fitness: 0.7289 | Media Población: 0.2394
Generación 217/2000 | Mejor Fitness: 0.7289 | Media Población: 0.2721
Generación 218/2000 | Mejor Fitness: 0.7289 | Media Población: 0.4344
Generación 219/2000 | Mejor Fitness: 0.7289 | Media Población: 0.3732
Generación 220/2000 | Mejor Fitness: 0.7289 | Media Población: 0.3976
Generación 221/2000 | Mejor Fitness: 0.7289 | Media Población: 0.4587
Generación 222/2000 | Mejor Fitness: 0.7289 | Media Población: 0.4734
Generación 223/2000 | Mejor Fitness: 0.7289 | Media Población: 0.4458
Generación 224/2000 | Mejor Fitness: 0.7289 | Media Población: 0.3874
Generación 225/2000 | Mejor Fitness: 0.7289 | Media Población: 0.5344
Generación 226/2000 | Mejor Fitness: 0.7289 | Media Población: 0.3398
Generación 227/2000 | Mejor Fitness: 0.7289 | Media Población: 0.4399
Generación 228/2000 | Mejor Fitness: 0.7289 | Media Población: 0.3460
Generación 229/2000 | Mejor Fitness: 0.7289 | Media Población: 0.2966
Generación 230/2000 | Mejor Fitness: 0.7289 | Media Población: 0.3692
